protein,class
NPF1.1_Q8LPL2,importer
NPF1.2_Q9M817,importer
NPF2.10_Q944G5,importer
NPF2.12_Q9LFX9,importer
NPF2.13_Q8RX77,importer
NPF2.3_Q9M175,importer
NPF2.4_Q9M173,importer
NPF2.5_Q9M172,importer
NPF2.7_Q9M1E2,importer
NPF3.1_Q9SX20,importer
NPF4.1_Q9LSF0,importer
NPF4.2_Q9LSE8,importer
NPF5.10_Q0WP01,non_importer
NPF5.11_Q8RX67,non_importer
NPF5.12_Q9C7U1,non_importer
NPF5.13_Q0WSZ6,non_importer
NPF5.14_Q8VZE2,non_importer
NPF5.15_Q9SK99,non_importer
NPF5.16_Q9SK96,non_importer
NPF5.8_Q9LFR1,non_importer
NPF5.9_Q9SRI2,non_importer
NPF6.1_Q9LYR6,non_importer
NPF6.2_Q9SZY4,non_importer
NPF6.3_Q05085,non_importer
NPF6.4_Q9LVE0,non_importer
NPF7.1_Q3E9B5,non_importer
NPF7.2_Q8GXN2,non_importer
NPF7.3_Q9LQL2,non_importer
NPF8.1_Q9M390,non_importer
NPF8.2_Q9LFB8,non_importer
NPF8.3_P46032,non_importer
NPF8.4_Q84WG0,non_importer
NPF8.5_Q93Z20,non_importer
